,level,parent,name,q,eppo
10105,8,8809,Luziola,Q3755528,1LUZG
10106,7,425,Lamprothamnus,Q9020165,1LVMG
10107,7,8755,Lychnis,,1LYHG
10108,7,8755,Silene,,1SILG
10109,7,8755,Viscaria,Q9338825,1VSKG
10110,7,459,Lycianthes,Q137549,1LYIG
10111,8,8699,Lysiphyllum,Q3012200,1LYMG
10112,7,459,Lycopersicon,,1LYPG
10113,8,8778,Lycoris,,1LYRG
10114,7,8790,Lythrum,Q156845,1LYTG
10115,7,9005,Pellacalyx,,1LYXG
10116,7,387,Lessertia,,1LZZG
10117,8,8627,Malachra,Q9027071,1MAAG
10118,8,8668,Madia,Q267953,1MADG
10119,7,9326,Mammea,Q3285525,1MAFG
10120,8,8627,Malvaviscus,Q3237074,1MAIG
10121,8,8655,Origanum,Q205265,1ORIG
10122,7,82,Escobaria,Q133509,1ESCG
10123,7,138,Malcolmia,Q2914608,1MAMG
10124,8,267,Marrubium,Q159392,1MAQG
10125,4,8636,Salviniales,Q7175204,1SAVO
10126,5,10125,Marsileaceae,Q1115420,1MASF
10127,6,10126,Marsilea,Q2363141,1MASG
10128,8,8668,Matricaria,Q27618,1MATG
10129,8,8668,Tripleurospermum,,1TPMG
10130,8,8627,Malvastrum,Q9297443,1MAVG
10131,8,8655,Marsypianthes,Q10326791,1MAXG
10132,7,8836,Martynia,Q14565641,1MAYG
10133,6,8615,Mazaceae,Q17757462,1MAZF
10134,7,10133,Mazus,Q136934,1MAZG
10135,7,8752,Maesoideae,Q15974781,1MBES
10136,8,10135,Maesa,Q134897,1MBEG
10137,8,9393,Micropholis,Q2709804,1MCFG
10138,8,8672,Machaerium,,1MCJG
10139,8,8631,Macaranga,Q2487583,1MCRG
10140,8,8668,Microseris,Q5232645,1MCSG
10141,7,425,Mussaenda,Q2700681,1MDAG
10142,8,8834,Madhuca,,1MDHG
10143,7,8855,Medinilla,Q1100242,1MDJG
10144,8,8683,Monodora,Q2344914,1MDOG
10145,7,8744,Melampyrum,Q161626,1MEAG
10146,8,8672,Medicago,Q159549,1MEDG
10147,7,152,Zehneria,Q3312784,1ZEHG
10148,7,152,Melothria,Q138918,1MEEG
10149,8,8668,Melanthera,Q9031295,1MEFG
10150,7,9676,Melianthus,Q2618410,1MEHG
10151,8,8698,Merrillia,Q1592166,1MEJG
10152,8,8668,Melampodium,Q1708544,1MEMG
10153,8,9173,Melochia,Q837434,1MEOG
10154,6,154,Metasequoia,Q1825748,1MEQG
10155,8,8631,Mercurialis,Q157606,1MERG
10156,7,8855,Melastoma,Q2464325,1MESG
10157,8,8672,Melilotus,Q161142,1MEUG
10158,6,8667,Menyanthaceae,Q161177,1MEYF
10159,7,10158,Menyanthes,Q12179906,1MEYG
10160,8,8655,Platostoma,,1PQOG
10161,7,8829,Myrianthus,Q5803842,1MHUG
10162,8,8727,Myrrhinium,Q335299,1MHWG
10163,7,332,Mirabilis,Q158323,1MIBG
10164,7,8855,Miconia,Q289879,1MICG
10165,8,8672,Millettia,,1MIJG
10166,8,8668,Mikania,Q2698264,1MIKG
10167,8,8679,Melinis,Q2171147,1MILG
10168,8,8679,Miscanthus,Q131542,1MISG
10169,7,8800,Erythranthe,Q17745902,1EYEG
10170,6,154,Microbiota,Q13073722,1MJBG
10171,8,8727,Mitrantia,Q5655454,1MJIG
10172,7,501,Musineon,Q6942689,1MJOG
10173,8,8672,Macroptillium,,1MKLG
10174,7,8616,Markhamia,Q2710480,1MKMG
10175,8,8739,Microcos,,1MKWG
10176,7,8686,Macropanax,,1MKXG
10177,8,8788,Melicoccus,Q2705425,1MLCG
10178,6,8770,Sabiaceae,Q581490,1SABF
10179,7,10178,Meliosma,Q1208129,1MLOG
10180,8,8732,Melicope,Q2700651,1MLQG
10181,8,8674,Melanorrhoea,,1MLRG
10182,8,8655,Melissa,Q920402,1MLSG
10183,7,8857,Melicytus,Q1935545,1MLYG
10184,8,8655,Micromeria,Q2306517,1MMJG
10185,8,8655,Clinopodium,Q164026,1CLBG
10186,8,8834,Mimusops,Q2734274,1MMOG
10187,7,459,Mandragora,Q212742,1MNDG
10188,8,8703,Maianthemum,Q157848,1MNHG
10189,7,195,Menziesia,,1MNIG
10190,8,8834,Manilkara,Q309947,1MNKG
10191,7,9348,Menispermum,Q1944342,1MNPG
10192,8,8687,Manicaria,Q2712880,1MNQG
10193,7,9301,Montia,Q160046,1MNTG
10194,6,8740,Loasaceae,Q599518,1LOAF
10195,7,10194,Mentzelia,Q142498,1MNZG
10196,7,138,Moricandia,,1MOCG
10197,8,8627,Modiola,,1MODG
10198,8,9884,Monoon,Q17483943,1MOFG
10199,6,8706,Moringaceae,Q1874920,1MOGF
10200,7,10199,Moringa,Q310468,1MOHG
10201,7,425,Morinda,,1MOJG
10202,7,425,Gynochthodes,Q6441578,1GCAG
10203,6,8653,Molluginaceae,Q144259,1MOLF
10204,7,10203,Mollugo,Q2639601,1MOLG
10205,7,152,Momordica,Q179937,1MOMG
10206,8,105,Monolepis,,1MOPG
10207,8,8849,Monstera,Q159216,1MOSG
10208,8,267,Moluccella,Q2916241,1MOUG
10209,8,8727,Myrceugenia,Q6948143,1MQBG
10210,8,8727,Plinia,,1PZIG
10211,7,425,Mitriostigma,Q9033767,1MRMG
10212,7,8855,Mouriri,Q2032773,1MROG
10213,7,133,Merremia,Q141173,1MRRG
10214,7,133,Camonea,Q15932786,1CMGG
10215,7,9199,Maranthes,Q1334836,1MRSG
10216,8,8727,Myrcia,Q3004081,1MRXG
10217,7,8686,Meryta,Q2598732,1MRYG
10218,8,8818,Matisia,Q6787609,1MSJG
10219,7,8766,Kayea,Q5843599,1KVYG
10220,7,425,Mitracarpus,Q10331176,1MTCG
10221,7,138,Matthiola,Q27961,1MTLG
